year_label,trading_month_number,month_name,week_start_number,week_end_number,season_code,half_code,quarter_num
2025 - 26,1,February,1,4,SS,H1,1
2025 - 26,2,March,5,9,SS,H1,1
2025 - 26,3,April,10,13,SS,H1,1
2025 - 26,4,May,14,17,SS,H1,2
2025 - 26,5,June,18,22,SS,H1,2
2025 - 26,6,July,23,26,SS,H1,2
2025 - 26,7,August,27,30,AW,H2,3
2025 - 26,8,September,31,35,AW,H2,3
2025 - 26,9,October,36,39,AW,H2,3
2025 - 26,10,November,40,43,AW,H2,4
2025 - 26,11,December,44,48,AW,H2,4
2025 - 26,12,January,49,53,AW,H2,4
